"","replicate","dpi","cal_day","pot","dead","saliva","menu","egglay_tonight","egglay_last night","egglay_pic","alive","for_eip_not_mirs","sg_dissected"
"1","r00",0,2023-03-13,"kc270",0,"0","is",0,"-",NA,0,NA,0
"2","r00",0,2023-03-13,"ki270",0,"0","is",0,"-",NA,0,NA,0
"3","r00",0,2023-03-13,"cc270",0,"0","is",0,"-",NA,0,NA,0
"4","r00",0,2023-03-13,"ci270",0,"0","is",0,"-",NA,0,NA,0
"5","r00",1,2023-03-14,"kc270",7,"0","s",0,"-",NA,0,NA,0
"6","r00",1,2023-03-14,"ki270",1,"0","s",0,"-",NA,0,NA,0
"7","r00",1,2023-03-14,"cc270",3,"0","s",0,"-",NA,0,NA,0
"8","r00",1,2023-03-14,"ci270",3,"0","s",0,"-",NA,0,NA,0
"9","r00",2,2023-03-15,"kc270",3,"0","s",1,"-",NA,0,NA,0
"10","r00",2,2023-03-15,"ki270",2,"0","s",1,"-",NA,0,NA,0
"11","r00",2,2023-03-15,"cc270",2,"0","s",1,"-",NA,0,NA,0
"12","r00",2,2023-03-15,"ci270",0,"0","s",1,"-",NA,0,NA,0
"13","r00",3,2023-03-16,"kc270",5,"0","w",1,"-",NA,3,0,0
"14","r00",3,2023-03-16,"ki270",9,"0","w",1,"-",NA,3,0,0
"15","r00",3,2023-03-16,"cc270",12,"0","w",1,"-",NA,3,0,0
"16","r00",3,2023-03-16,"ci270",8,"0","w",1,"-",NA,3,0,0
"17","r00",4,2023-03-17,"kc270",2,"0","bs",0,"-",NA,0,NA,0
"18","r00",4,2023-03-17,"ki270",3,"0","bs",0,"-",NA,0,NA,0
"19","r00",4,2023-03-17,"cc270",2,"0","bs",0,"-",NA,0,NA,0
"20","r00",4,2023-03-17,"ci270",1,"0","bs",0,"-",NA,0,NA,0
"21","r00",5,2023-03-18,"kc270",3,"0","s",0,"-",NA,0,NA,0
"22","r00",5,2023-03-18,"ki270",0,"0","s",0,"-",NA,0,NA,0
"23","r00",5,2023-03-18,"cc270",9,"0","s",0,"-",NA,0,NA,0
"24","r00",5,2023-03-18,"ci270",5,"0","s",0,"-",NA,0,NA,0
"25","r00",6,2023-03-19,"kc270",1,"0","s",1,"-",NA,3,0,0
"26","r00",6,2023-03-19,"ki270",1,"0","s",1,"-",NA,3,0,0
"27","r00",6,2023-03-19,"cc270",1,"0","s",1,"-",NA,3,0,0
"28","r00",6,2023-03-19,"ci270",0,"0","s",1,"-",NA,3,0,0
"29","r00",7,2023-03-20,"kc270",0,"0","w",1,"-",NA,0,NA,0
"30","r00",7,2023-03-20,"ki270",1,"0","w",1,"-",NA,0,NA,0
"31","r00",7,2023-03-20,"cc270",3,"0","w",1,"-",NA,0,NA,0
"32","r00",7,2023-03-20,"ci270",1,"0","w",1,"-",NA,0,NA,0
"33","r00",8,2023-03-21,"kc270",1,"0","bs",0,"-",NA,0,NA,0
"34","r00",8,2023-03-21,"ki270",0,"0","bs",0,"-",NA,0,NA,0
"35","r00",8,2023-03-21,"cc270",0,"0","bs",0,"-",NA,0,NA,0
"36","r00",8,2023-03-21,"ci270",2,"0","bs",0,"-",NA,0,NA,0
"37","r00",9,2023-03-22,"kc270",3,"1","s",0,"-",NA,3,0,0
"38","r00",9,2023-03-22,"ki270",3,"1","s",0,"-",NA,3,0,0
"39","r00",9,2023-03-22,"cc270",0,"1","s",0,"-",NA,3,0,0
"40","r00",9,2023-03-22,"ci270",3,"1","s",0,"-",NA,3,0,0
"41","r00",10,2023-03-23,"kc270",1,"1","s",1,"-",NA,0,NA,0
"42","r00",10,2023-03-23,"ki270",1,"1","s",1,"-",NA,0,NA,0
"43","r00",10,2023-03-23,"cc270",0,"1","s",1,"-",NA,0,NA,0
"44","r00",10,2023-03-23,"ci270",9,"1","s",1,"-",NA,0,NA,0
"45","r00",11,2023-03-24,"kc270",0,"1","w",1,"-",NA,3,0,0
"46","r00",11,2023-03-24,"ki270",0,"1","w",1,"-",NA,3,0,0
"47","r00",11,2023-03-24,"cc270",1,"1","w",1,"-",NA,3,0,0
"48","r00",11,2023-03-24,"ci270",3,"1","w",1,"-",NA,3,0,0
"49","r00",12,2023-03-25,"kc270",1,"1","bs",0,"-",NA,0,NA,0
"50","r00",12,2023-03-25,"ki270",1,"1","bs",0,"-",NA,0,NA,0
"51","r00",12,2023-03-25,"cc270",2,"1","bs",0,"-",NA,0,NA,0
"52","r00",12,2023-03-25,"ci270",1,"1","bs",0,"-",NA,0,NA,0
"53","r00",13,2023-03-26,"kc270",4,"1","s",0,"-",NA,3,0,0
"54","r00",13,2023-03-26,"ki270",4,"1","s",0,"-",NA,3,0,0
"55","r00",13,2023-03-26,"cc270",6,"1","s",0,"-",NA,3,0,0
"56","r00",13,2023-03-26,"ci270",9,"1","s",0,"-",NA,3,0,0
"57","r00",14,2023-03-27,"kc270",1,"1","s",1,"-",NA,0,NA,0
"58","r00",14,2023-03-27,"ki270",1,"1","s",1,"-",NA,0,NA,0
"59","r00",14,2023-03-27,"cc270",0,"1","s",1,"-",NA,0,NA,0
"60","r00",14,2023-03-27,"ci270",2,"1","s",1,"-",NA,0,NA,0
"61","r00",15,2023-03-28,"kc270",0,"1","w",1,"-",NA,11,0,0
"62","r00",15,2023-03-28,"ki270",4,"1","w",1,"-",NA,14,0,0
"63","r00",15,2023-03-28,"cc270",1,"1","w",1,"-",NA,7,0,0
"64","r00",15,2023-03-28,"ci270",0,"1","w",1,"-",NA,6,0,0
"65","r01",0,2023-06-05,"kc270",0,"0","is",0,"-",NA,0,NA,0
"66","r01",0,2023-06-05,"ki270",0,"0","is",0,"-",NA,0,NA,0
"67","r01",0,2023-06-05,"kc276",0,"0","is",0,"-",NA,0,NA,0
"68","r01",0,2023-06-05,"ki276",0,"0","is",0,"-",NA,0,NA,0
"69","r01",1,2023-06-06,"kc270",0,"0","s",0,"-",NA,0,NA,0
"70","r01",1,2023-06-06,"ki270",1,"0","s",0,"-",NA,0,NA,0
"71","r01",1,2023-06-06,"kc276",0,"0","s",0,"-",NA,0,NA,0
"72","r01",1,2023-06-06,"ki276",2,"0","s",0,"-",NA,0,NA,0
"73","r01",2,2023-06-07,"kc270",0,"0","s",1,"-",NA,0,NA,0
"74","r01",2,2023-06-07,"ki270",0,"0","s",1,"-",NA,0,NA,0
"75","r01",2,2023-06-07,"kc276",0,"0","s",1,"-",NA,0,NA,0
"76","r01",2,2023-06-07,"ki276",0,"0","s",1,"-",NA,0,NA,0
"77","r01",3,2023-06-08,"kc270",1,"0","w",1,"0",NA,3,0,0
"78","r01",3,2023-06-08,"ki270",0,"0","w",1,"0",NA,3,0,0
"79","r01",3,2023-06-08,"kc276",0,"0","w",1,"1",NA,3,0,0
"80","r01",3,2023-06-08,"ki276",2,"0","w",1,"0",NA,3,0,0
"81","r01",4,2023-06-09,"kc270",0,"0","bs",0,"0",NA,0,NA,0
"82","r01",4,2023-06-09,"ki270",3,"0","bs",0,"0",NA,0,NA,0
"83","r01",4,2023-06-09,"kc276",1,"0","bs",0,"0",NA,0,NA,0
"84","r01",4,2023-06-09,"ki276",0,"0","bs",0,"0",NA,0,NA,0
"85","r01",5,2023-06-10,"kc270",3,"a1","s",0,"-",NA,0,NA,0
"86","r01",5,2023-06-10,"ki270",2,"a2","s",0,"-",NA,0,NA,0
"87","r01",5,2023-06-10,"kc276",3,"a3","s",0,"-",NA,0,NA,0
"88","r01",5,2023-06-10,"ki276",3,"a4","s",0,"-",NA,0,NA,0
"89","r01",6,2023-06-11,"kc270",0,"a5","s",1,"-",NA,3,0,0
"90","r01",6,2023-06-11,"ki270",0,"a6","s",1,"-",NA,3,0,0
"91","r01",6,2023-06-11,"kc276",0,"a7","s",1,"-",NA,3,0,0
"92","r01",6,2023-06-11,"ki276",0,"a8","s",1,"-",NA,3,0,0
"93","r01",7,2023-06-12,"kc270",1,"a9","w",1,"1",NA,0,NA,0
"94","r01",7,2023-06-12,"ki270",0,"a10","w",1,"1",NA,0,NA,0
"95","r01",7,2023-06-12,"kc276",0,"a11","w",1,"1",NA,0,NA,0
"96","r01",7,2023-06-12,"ki276",1,"a12","w",1,"1",NA,0,NA,0
"97","r01",8,2023-06-13,"kc270",0,"b1","bs",0,"1",NA,0,NA,0
"98","r01",8,2023-06-13,"ki270",1,"b2","bs",0,"1",NA,0,NA,0
"99","r01",8,2023-06-13,"kc276",0,"b3","bs",0,"1",NA,0,NA,0
"100","r01",8,2023-06-13,"ki276",1,"b4","bs",0,"1",NA,0,NA,0
"101","r01",9,2023-06-14,"kc270",7,"b5","s",0,"-",NA,3,0,0
"102","r01",9,2023-06-14,"ki270",4,"b6","s",0,"-",NA,3,0,0
"103","r01",9,2023-06-14,"kc276",3,"b7","s",0,"-",NA,3,0,0
"104","r01",9,2023-06-14,"ki276",11,"b8","s",0,"-",NA,3,0,0
"105","r01",10,2023-06-15,"kc270",3,"b9","s",1,"-",NA,0,NA,0
"106","r01",10,2023-06-15,"ki270",1,"b10","s",1,"-",NA,0,NA,0
"107","r01",10,2023-06-15,"kc276",3,"b11","s",1,"-",NA,0,NA,0
"108","r01",10,2023-06-15,"ki276",6,"b12","s",1,"-",NA,0,NA,0
"109","r01",11,2023-06-16,"kc270",1,"c1","w",1,"1",NA,3,0,0
"110","r01",11,2023-06-16,"ki270",1,"c2","w",1,"1",NA,3,0,0
